tagLocation=Achalesas' Domain ^r(Eternal Resurrected Version 0.990)
tagLocation2=Forgotten Garden ^r(Eternal SE Version 0.980)
tagLocation3=Precipice of Lunacy ^r(Eternal (Grimarillion Edition))
tagLocation4=Eternal Corridor ^r(Eternal (Grimarillion Edition))
tagWaveToSpawn46=Wave 46 will be spawned!
tagWaveToSpawn47=Wave 47 will be spawned!
tagWaveToSpawn48=Wave 48 will be spawned!
tagWaveToSpawn49=Wave 49 will be spawned!
tagWaveToSpawn50=Wave 50 will be spawned!
tagWaveToSpawn51=Wave 51 will be spawned!
tagWaveToSpawn52=Wave 52 will be spawned!
tagWaveToSpawn53=Wave 53 will be spawned!
tagWaveToSpawn54=Wave 54 will be spawned!
tagWaveToSpawn55=Wave 55 will be spawned!
tagWaveToSpawn56=Wave 56 will be spawned!
tagWaveToSpawn57=Wave 57 will be spawned!
tagWaveToSpawn58=Wave 58 will be spawned!
tagWaveToSpawn59=Wave 59 will be spawned!
tagWaveToSpawn60=Wave 60 will be spawned!
tagWaveToSpawn61=Wave 61 will be spawned!
tagWaveToSpawn62=Wave 62 will be spawned!
tagWaveToSpawn63=Wave 63 will be spawned!
tagWaveToSpawn64=Wave 64 will be spawned!
tagWaveToSpawn65=Wave 65 will be spawned!
tagWaveToSpawn66=Wave 66 will be spawned!
tagWaveToSpawn67=Wave 67 will be spawned!
tagWaveToSpawn68=Wave 68 will be spawned!
tagWaveToSpawn69=Wave 69 will be spawned!
tagWaveToSpawn70=Wave 70 will be spawned!
tagWaveToSpawn71=Wave 71 will be spawned!
tagWaveToSpawn72=Wave 72 will be spawned!
tagWaveToSpawn73=Wave 73 will be spawned!
tagWaveToSpawn74=Wave 74 will be spawned!
tagWaveToSpawn75=Wave 75 will be spawned!
tagWaveRandom=Wave has been spawned!
tagGodSpawned=God has arrived!
tagGodKilled=God has been defeated!

tagSummoningStone=Summoning Stone
tagClear=Stage clear!
tagCleansingSphere=Cleansing Sphere
tagChestCustom01=Chest
tagMerchant=Merchant
tagImyron=Imyron
tagNarisk=Narisk
tagAlchemist=Alchemist
tagFactionNPCName_01=The Black Legion
tagFactionNPCName_02=Cult of Bysmiel
tagFactionNPCName_03=Coven of Ugdenbog
tagFactionNPCName_04=Devil's Crossing
tagFactionNPCName_05=Cult of Dreeg
tagFactionNPCName_06=The Outcast
tagFactionNPCName_07=Homestead
tagFactionNPCName_08=Kymon's Chosen
tagFactionNPCName_09=Malmouth Resistance
tagFactionNPCName_10=Order of Death's Vigil
tagFactionNPCName_11=Rovers
tagFactionNPCName_12=Cult of Solael
tagFactionNPCName_13=Barrowholm
tagFactionNPCTitle=Quartermaster
tagNoMoreWaves=You have defeated all waves!
tagFuryGeneral=Fury ~ General
tagMerrik=Merrik ~ Swift
tagExecutioner=Cronley's Gang ~ Executioner
tagClearing=Area cleared!
tagAklorash=Lord Ak'lorash
tagForgotten=Keeper of Knowledge
tagIlyiana=Ilyiana
tagPriest=High Priestess
tagJarun=Jarun
tagHoarder=Hoarder
tagUrial=Urial
tagInventor=Inventor
tagZarkrim=Zarkrim
tagBartuc=Bartuc
tagCaeles=Caeles
tagTallinn=Tallinn ~ Challenger of the Gods
tagPriestessLuna=Priestess Luna
tagAchalesa=Achalesa
tagCheckpoint=Checkpoint Unlocked!
tagDepravitie=Depravitie, Lord Corruptor
tagZaulkahn=Zaul Kahn, Lord Undertaker
tagCorruptionAura=Aura of Corruption
tagCorruptionAuraDesc=The presence of the corrupted soul is destroying your own flesh.
tagUrzog=Urzog, Lord Demolisher
tagSabrina=Sabrina, Lady Witch
tagAria=Aria, Lady Devourer
tagBeanies=Irewa Enabies, Ember Commander
tagHarun=Harun, Master Tactician
tagRaznar=Raznar Hawkeye
tagConsumableBlueprintRibbon=Blueprint: Ranger's Ribbon
tagEnchanter=Enchanter
tagAlunar=Alunar
tagJunker=Junker
tagVaqul=Vaqul
tagEssenceSkill={^p}Essence of Skill
tagEssenceSkillDesc=An essence that contains corrupted power of the Void. Awards user with one skill point.
tagEssencePower={^p}Essence of Power
tagEssencePowerDesc=An essence that contains corrupted power of the Void. Awards user with one attribute point.
tagEssenceTrinity={^p}Trinity Essence
tagEssenceTrinityDesc=Glowing essence that contains corrupted power of the Void. Awards user with one attribute and skill point.
tagSkillPointAwardedc=1 Skill Point Awarded
tagAttributePointAwardedc=1 Attribute Point Awarded
tagAnvil=Anvil
tagGodlyScythe=Alkamos' Deathbringing Scythe
tagDepraGloves=Corrupted Depravitie's Rune Gloves
tagZaulCrystal=Zaul Kahns' Posessed Aether Shard
tagUrzogMace=Ur Zog's Blazing Scepter
tagSabrinaRing=Sabrina's Aether Sigil
tagAriaNecklance=Vile Aria's Necklace
tagHarunsSword=Chilling Edge of Harun
tagFrostmourne=Frostmourne
tagHolyGloves=Holy Gloves
tagRaznarsGun1=Raznar's Punisher
tagMogdrogensCowl=True Cowl of Mogdrogen
tagSabrinaOrbitingAether=Orbiting Aether Wave
tagSabrinaOrbitingAetherDesc=Call upon the power of aether to summon an orbiting wave of destruction.
tagZaulKahnSummon=Summon Corrupted Troll
tagZaulKahnSummonDesc=Use the aether power of the crystal to summon an army of posessed trolls to your side.
tagUrZogInferno=Inferno
tagUrZogInfernoDesc=Summon infernal pillar from the very core of the world itself to burn your enemies to ashes.
tagDepraChaosWave=Wave of Chaos
tagDepraChaosWaveDesc=Conjure a chaos wave of destructive force that destroys life essence of your foes.
tagAriaAura=Draining Aura
tagAriaAuraDescription=Ch'thonian power saps life force from the nearby enemies.
tagMarkofDeath=Mark of Death
tagMarkofDeathDesc=You are marked by the headhunter. Your defence is considerably lowered.
tagBlizzard=Blizzard
tagBlizzardDesc=Summon the power of nature, freezing and chilling all the enemies in the large area.
tagCallMog=Call of the Mogdrogen
tagCallMogDesc=Embrace the power of the Beast God empowering you and your minions.
tagBeaniesPauldrons=Irewa's Ember Mantle
tagEva=Eva
tagAscend_1=Ascension I
tagAscend_2=Ascension II
tagAscend_3=Ascension III
tagDescend=Descended!
tagRaznarsVolley=Volley of Justice
tagRaznarsVolleyDesc=Unleash additional projectiles of tremendrous power.
tagHealSpell=Heal
tagHealSpellDesc=Instantly restore health of the creature selected.
tagNemesis_OrderDeathsVigil01_Illusion=Illusion of Zantarin, the Immortal
tagNemesis_Kymon02_Illusion=Illusion of the Iron Maiden
tagEterneum=Eternal Shard
tagEterneumDesc=A fragment of time found only at the Edge of the World. Priestess Luna should know something about this.
tagLootbox01N=Pocket Trove
tagLootbox01D="A weird orb that pulses with chthonic, eternal magic. As you look into this ominous orb, you see all kinds of things floating inside the bizarre, spatial placenta. Potions, blueprints, weapons, armor, materials and components of all kinds. You can try to reach in and grab something but it feels delicate..."
tagCraftLootbox=Pocket Trove
tagCraftLootbox_D=Creates a Pocket Trove which can reward you with random loot... or nothing of value.
tagCraftMeritE=Difficulty Unlocker: Champion's Merit
tagCraftMeritE_D=Crafts a merit to unlock the Elite difficulty.
tagCraftMeritU=Difficulty Unlocker: Savior's Merit
tagCraftMeritU_D=Crafts a merit to unlock the Ultimate difficulty.
tagCraftMeritCE=Crucible Unlocker: Challenger's Merit
tagCraftMeritCE_D=Crafts a merit to unlock the Challenger Crucible difficulty. ^n^o(Unless you have the Crucible DLC, this does nothing.)
tagCraftMeritCU=Crucible Unlocker: Gladiator's Merit
tagCraftMeritCU_D=Crafts a merit to unlock the Gladiator Crucible difficulty. ^n^o(Unless you have the Crucible DLC, this does nothing.)
tagCraftInvBag=Craft Inventory Bag
tagCraftInvBag_D=Crafts an inventory bag. ^n^o(There's a limit of 5)
tagCraftMoney1=Sell 1 Eternal Shard
tagCraftMoney_D1=Sell one eternal shard for 1000 iron bits.
tagCraftMoney2=Sell 5 Eternal Shards
tagCraftMoney_D2=Sell five eternal shards for 6000 iron bits.
tagCraftMoney3=Sell 10 Eternal Shards
tagCraftMoney_D3=Sell ten eternal shards for 12000 iron bits.
tagCraftMoney4=Sell 50 Eternal Shards
tagCraftMoney_D4=Sell fifty eternal shards for 60000 iron bits.

tagSkillPowerup01=Blessing of Ulo
tagSkillPowerup01Desc=You are blessed by Ulo, granting you resistance to damage over time and crowd control effects.

tagSkillPowerup02=Empyrion's Guidance
tagSkillPowerup02Desc=You are blessed by the light of Empyrion, granting you unparalleled fortitude.

tagSkillPowerup03=Might of Amatok
tagSkillPowerup03Desc=You are marked by the spirit of Amatok, granting you incredible might.

tagSkillPowerup04=Ulzuin's Pact
tagSkillPowerup04Desc=You are marked by Ulzuin, granting you restless fury.


tag_nemesis_aetherial_01_spawned=Valdaran Spawned!
tag_nemesis_aetherialvanguard_01_spawned=Aleksander Spawned!
tag_nemesis_beast_01_p1_spawned=Kubacabra Spawned!
tag_nemesis_chthonian_02_spawned=Benn'Jahr Spawned!
tag_nemesis_chthonianvoidborn_01_spawned=Grava'Thul Spawned!
tag_nemesis_eldritch_01_spawned=Kaisan Spawned!
tag_nemesis_kymon_02_spawned=Iron Maiden Spawned!
tag_nemesis_kymon_02b_spawned=Iron Maiden Spawned!
tag_nemesis_orderdeathsvigil_01_spawned=Zantarin Spawned!
tag_nemesis_orderdeathsvigil_01b_spawned=Zantarin Spawned!
tag_nemesis_outlaw_01_spawned=Fabius Spawned!
tag_nemesis_undead_02a_spawned=Moosilauke Spawned!
tag_nemesis_wendigo_01_spawned=Reaper of the Lost Spawned!
tag_god_avatarofmogdrogen_02_spawned=Avatar of Mogdrogen Spawned!
tag_god_clone_a01_spawned=John Bourbon Spawned!
tag_god_crate_01_spawned=Crate of Entertainment Spawned!
tag_god_lokarr_01_spawned=Lokarr Spawned!
tag_god_sandscion_02_spawned=Callagadra Spawned!
tag_god_ulgrim_void_spawned=Ulgrim Spawned!
tag_god_wendigo_ravager_fleshb_spawned=Ravager of Flesh Spawned!
tag_god_wendigo_ravager_mindsb_spawned=Ravager of Minds Spawned!
tag_god_wendigo_ravager_soulsb_spawned=Ravager of Souls Spawned!

tag_AETHERIAL_killed=Valdaran slain!
tag_VANGUARD_killed=Aleksander slain!
tag_BEAST_killed=Kubacabra slain!
tag_CHTHONIAN_killed=Benn'Jahr slain!
tag_VOIDBORN_killed=Grava'Thul slain!
tag_ELDRITCH_killed=Kaisan slain!
tag_KYMON_killed=Iron Maiden slain!
tag_KYMON_killed=Iron Maiden slain!
tag_ORDER_killed=Zantarin slain!
tag_ORDER_killed=Zantarin slain!
tag_OUTLAW_killed=Fabius slain!
tag_UNDEAD_killed=Moosilauke slain!
tag_WENDIGO_killed=Reaper of the Lost slain!

tag_AVATAR_killed=Avatar of Mogdrogen slain!
tag_JOHN_killed=John Bourbon slain!
tag_CRATE_killed=Crate of Entertainment slain!
tag_LOKARR_killed=Lokarr slain!
tag_SCION_killed=Callagadra slain!
tag_ULGRIM_killed=Ulgrim slain!
tag_RAVAGER_killed=Ravager slain!

tagChestUlgrim01=Ulgrim's Trove

tagTallinnsNote=A note from Tallinn
tagTallinnsNoteDesc=To whomever finds this, the Eternal Arena does not end with the Loghorrean. It does not continue infinitely as we thought. The Loghorrean is merely a ... gatekeeper, it connects multiple domains and realms for other arenas. I defeated the beast, however in doing so, it retreated to another domain, and dragged me through multiple other domains until I crashed here... Hopefully my Priestess can find another champion to help her escape her torment...

tagEternalCodex=Eternal
tagLunasNote1=Eternal Voyage pt 1
tagLunasNote1Desc=As the quill glides across the parchment, the weight of my discoveries bears down upon me like the heavy shroud of night. These words may never see the light of day, but I must record the depths to which my experiments have plunged, the sacrifices made in pursuit of the forbidden. {^n}{^n}In the gloom of my sanctuary, where shadows dance like specters in the candlelight, I have delved into the darkest recesses of the occult. The ancient tomes, their pages brittle with age, have become my companions in this solitary journey. Each whispered incantation, each arcane symbol traced upon the air, draws me closer to the abyss that beckons from beyond the veil.{^n}{^n}I have shed blood upon the altar of my ambitions, offering up the lives of innocents in exchange for the keys to unlock the secrets of the cosmos. The echoes of their screams still haunt the chamber, a grim reminder of the cost of my obsession.{^n}{^n}But it is not merely power that drives me. No, it is the promise of discovery, of unlocking the mysteries that lie hidden within the folds of reality itself. I have glimpsed into eternity, shimmering like a mirage in the darkness, its tantalizing glow a beacon of hope amidst the encroaching shadows.{^n}{^n}With each sacrifice, with each drop of blood spilled upon the ancient sigils, the void draws closer to fruition. Soon, I shall stand upon the threshold of worlds, gaze into the abyss, and beckon forth the entity that dwells within.{^n}{^n}What wonders await beyond the rift, I dare not imagine. But I am prepared to face whatever horrors lie in wait, for the thirst for knowledge that consumes me knows no bounds.{^n}{^n}May the stars bear witness to my folly, and may the gods have mercy upon my soul.{^n}{^n}Luna

tagLunasNote2=Eternal Voyage pt 2
tagLunasNote2Desc=My Final Testament,{^n}{^n}As I pen these words, the air crackles with the electric tension of impending revelation. The riftgate stands before me, a swirling maelstrom of otherworldly energies beckoning me to step beyond the confines of this mortal realm. The time has come to cast aside the trappings of my humanity and embrace the boundless possibilities that lie beyond the veil.{^n}{^n}The pull of the rift is intoxicating, a siren's call that resonates deep within my soul. It whispers promises of untold power, of knowledge beyond comprehension, and of a destiny forged in the crucible of the cosmos. How can I resist such temptation, when the very fabric of reality trembles at my touch?{^n}{^n}The tunnel before me stretches into the abyss, a yawning chasm carved from the blackest obsidian and inscribed with chthonic sigils that writhe and twist like serpents in the gloom. Each step I take brings me closer to the brink, closer to the moment when I shall cast myself into the unknown and embrace the chaos that awaits.{^n}{^n}My companions in this mortal coil, know that I do not take this path lightly. Know that every sacrifice, every drop of blood spilled upon the altar of my ambition, has been for naught if not for the pursuit of truth. And so, I leave behind this testament as a reminder of the price one must pay for enlightenment, and as a warning to those who would dare to follow in my footsteps.{^n}{^n}As I step into the swirling vortex of the riftgate, I feel the last vestiges of my humanity slip away like sand through my fingers. In its place rises something primal and ancient, a force beyond comprehension that yearns to break free from the shackles of mortality.{^n}{^n}Farewell, my friends, and may the stars guide you on your journey. For I am no longer of this world, but a traveler amidst the infinite expanse of the cosmos.{^n}{^n}With trembling hand and steadfast heart,{^n}{^n}Luna

