tagLocation=阿卡莱萨的领地 ^r（永恒复生版本 0.990）
tagWave50=第 50 波已生成！
tagWave51=第 51 波已生成！
tagWave52=第 52 波已生成！
tagWave53=第 53 波已生成！
tagWave54=第 54 波已生成！
tagWave55=第 55 波已生成！
tagWave56=第 56 波已生成！
tagWave57=第 57 波已生成！
tagWave58=第 58 波已生成！
tagWave59=第 59 波已生成！
tagWave60=第 60 波已生成！
tagWave61=第 61 波已生成！
tagWave62=第 62 波已生成！
tagWave63=第 63 波已生成！
tagWave64=第 64 波已生成！
tagWave65=第 65 波已生成！
tagWave66=第 66 波已生成！
tagWave67=第 67 波已生成！
tagWave68=第 68 波已生成！
tagWave69=第 69 波已生成！
tagWave70=第 70 波已生成！
tagWave71=第 71 波已生成！
tagWave72=第 72 波已生成！
tagWave73=第 73 波已生成！
tagWave74=第 74 波已生成！
tagWave75=第 75 波已生成！

tagWaveToSpawn1=第 1 波即将生成！
tagWaveToSpawn2=第 2 波即将生成！
tagWaveToSpawn3=第 3 波即将生成！
tagWaveToSpawn4=第 4 波即将生成！
tagWaveToSpawn5=第 5 波即将生成！
tagWaveToSpawn6=第 6 波即将生成！
tagWaveToSpawn7=第 7 波即将生成！
tagWaveToSpawn8=第 8 波即将生成！
tagWaveToSpawn9=第 9 波即将生成！
tagWaveToSpawn10=第 10 波即将生成！
tagWaveToSpawn11=第 11 波即将生成！
tagWaveToSpawn12=第 12 波即将生成！
tagWaveToSpawn13=第 13 波即将生成！
tagWaveToSpawn14=第 14 波即将生成！
tagWaveToSpawn15=第 15 波即将生成！
tagWaveToSpawn16=第 16 波即将生成！
tagWaveToSpawn17=第 17 波即将生成！
tagWaveToSpawn18=第 18 波即将生成！
tagWaveToSpawn19=第 19 波即将生成！
tagWaveToSpawn20=第 20 波即将生成！
tagWaveToSpawn21=第 21 波即将生成！
tagWaveToSpawn22=第 22 波即将生成！
tagWaveToSpawn23=第 23 波即将生成！
tagWaveToSpawn24=第 24 波即将生成！
tagWaveToSpawn25=第 25 波即将生成！
tagWaveToSpawn26=第 26 波即将生成！
tagWaveToSpawn27=第 27 波即将生成！
tagWaveToSpawn28=第 28 波即将生成！
tagWaveToSpawn29=第 29 波即将生成！
tagWaveToSpawn30=第 30 波即将生成！
tagWaveToSpawn31=第 31 波即将生成！
tagWaveToSpawn32=第 32 波即将生成！
tagWaveToSpawn33=第 33 波即将生成！
tagWaveToSpawn34=第 34 波即将生成！
tagWaveToSpawn35=第 35 波即将生成！
tagWaveToSpawn36=第 36 波即将生成！
tagWaveToSpawn37=第 37 波即将生成！
tagWaveToSpawn38=第 38 波即将生成！
tagWaveToSpawn39=第 39 波即将生成！
tagWaveToSpawn40=第 40 波即将生成！
tagWaveToSpawn41=第 41 波即将生成！
tagWaveToSpawn42=第 42 波即将生成！
tagWaveToSpawn43=第 43 波即将生成！
tagWaveToSpawn44=第 44 波即将生成！
tagWaveToSpawn45=第 45 波即将生成！
tagWaveToSpawn46=第 46 波即将生成！
tagWaveToSpawn47=第 47 波即将生成！
tagWaveToSpawn48=第 48 波即将生成！
tagWaveToSpawn49=第 49 波即将生成！
tagWaveToSpawn50=第 50 波即将生成！
tagWaveToSpawn51=第 51 波即将生成！
tagWaveToSpawn52=第 52 波即将生成！
tagWaveToSpawn53=第 53 波即将生成！
tagWaveToSpawn54=第 54 波即将生成！
tagWaveToSpawn55=第 55 波即将生成！
tagWaveToSpawn56=第 56 波即将生成！
tagWaveToSpawn57=第 57 波即将生成！
tagWaveToSpawn58=第 58 波即将生成！
tagWaveToSpawn59=第 59 波即将生成！
tagWaveToSpawn60=第 60 波即将生成！
tagWaveToSpawn61=第 61 波即将生成！
tagWaveToSpawn62=第 62 波即将生成！
tagWaveToSpawn63=第 63 波即将生成！
tagWaveToSpawn64=第 64 波即将生成！
tagWaveToSpawn65=第 65 波即将生成！
tagWaveToSpawn66=第 66 波即将生成！
tagWaveToSpawn67=第 67 波即将生成！
tagWaveToSpawn68=第 68 波即将生成！
tagWaveToSpawn69=第 69 波即将生成！
tagWaveToSpawn70=第 70 波即将生成！
tagWaveToSpawn71=第 71 波即将生成！
tagWaveToSpawn72=第 72 波即将生成！
tagWaveToSpawn73=第 73 波即将生成！
tagWaveToSpawn74=第 74 波即将生成！
tagWaveToSpawn75=第 75 波即将生成！

tagWaveRandom=波次已生成！
tagGodSpawned=神灵已降临！
tagGodKilled=神灵已被击败！

tagSummoningStone=召唤石
tagClear=关卡完成！
tagCleansingSphere=净化球
tagChestCustom01=宝箱
tagMerchant=商人
tagImyron=伊米隆
tagNarisk=纳里斯克
tagAlchemist=炼金术士
tagFactionNPCName_01=黑色军团
tagFactionNPCName_02=拜斯邁教團
tagFactionNPCName_03=柯凡
tagFactionNPCName_04=恶魔十字
tagFactionNPCName_05=德里格教團
tagFactionNPCName_06=放逐者
tagFactionNPCName_07=霍姆斯特德
tagFactionNPCName_08=凯蒙的神选者
tagFactionNPCName_09=马尔茅斯反抗军
tagFactionNPCName_10=死亡守夜人
tagFactionNPCName_11=流浪者
tagFactionNPCName_12=索拉爾教團
tagFactionNPCName_13=巴羅霍爾姆
tagFactionNPCTitle=军需官
tagNoMoreWaves=你已击败所有波次！
tagFuryGeneral=弗瑞 ~ 将军
tagMerrik=梅里克 ~ 迅捷
tagExecutioner=克隆利帮派 ~ 刽子手
tagClearing=区域已清理！
tagAklorash=阿克洛拉什领主
tagForgotten=知识守护者
tagIlyiana=伊莉雅娜
tagPriest=大祭司
tagJarun=贾伦
tagHoarder=收藏者
tagUrial=乌里亚尔
tagInventor=发明家
tagZarkrim=扎克里姆
tagBartuc=巴图克
tagCaeles=凯勒斯
tagTallinn=塔林 ~ 神之挑战者
tagPriestessLuna=露娜女祭司
tagAchalesa=阿卡莱萨
tagCheckpoint=解锁检查点！
tagDepravitie=堕落之主 德普拉维蒂
tagZaulkahn=乌托克领主 扎乌尔·卡恩
tagCorruptionAura=腐化光环
tagCorruptionAuraDesc=腐化之魂的存在正在摧毁你的肉身。
tagUrzog=毁灭者 乌尔佐格
tagSabrina=萨布丽娜，女巫
tagAria=阿里亚，吞噬女妖
tagBeanies=艾瑞瓦·伊纳比斯，烈焰指挥官
tagHarun=哈伦，策略大师
tagRaznar=拉兹纳尔·鹰眼
tagConsumableBlueprintRibbon=蓝图：游侠丝带
tagEnchanter=附魔师
tagAlunar=阿鲁纳尔
tagJunker=垃圾工
tagVaqul=瓦库尔
tagEssenceSkill={^p}技能精华
tagEssenceSkillDesc=包含虚空腐化力量的精华。奖励1个技能点。
tagEssencePower={^p}力量精华
tagEssencePowerDesc=包含虚空腐化力量的精华。奖励1点属性点。
tagEssenceTrinity={^p}三位一体精华
tagEssenceTrinityDesc=发光精华，包含虚空腐化力量。奖励1点属性和1个技能点。
tagSkillPointAwardedc=获得1个技能点
tagAttributePointAwardedc=获得1点属性点
tagAnvil=铁砧
tagGodlyScythe=阿尔卡莫斯的死亡镰
tagDepraGloves=堕落德普拉维蒂符文手套
tagZaulCrystal=扎乌尔·卡恩的附魔以太晶石
tagUrzogMace=乌尔佐格的灼热权杖
tagSabrinaRing=萨布丽娜的以太符印
tagAriaNecklance=邪恶阿里亚的项链
tagHarunsSword=哈伦的寒霜之刃
tagFrostmourne=霜之哀伤
tagHolyGloves=神圣手套
tagRaznarsGun1=拉兹纳尔的惩戒者
tagMogdrogensCowl=摩格德罗根的真理兜帽
tagSabrinaOrbitingAether=环绕以太波
tagSabrinaOrbitingAetherDesc=呼唤以太之力，召唤环绕的破坏波。
tagZaulKahnSummon=召唤腐化巨魔
tagZaulKahnSummonDesc=利用晶石的以太力量召唤附魔巨魔军团助阵。
tagUrZogInferno=地狱火柱
tagUrZogInfernoDesc=从世界之核召唤地狱柱，将敌人化为灰烬。
tagDepraChaosWave=混沌之波
tagDepraChaosWaveDesc=召唤毁灭性的混沌之波，摧毁敌人的生命力。
tagAriaAura=生命吸取光环
tagAriaAuraDescription=克苏恩之力吸取周围敌人的生命力。
tagMarkofDeath=死亡印记
tagMarkofDeathDesc=你已被猎头者标记，防御大幅降低。
tagBlizzard=暴风雪
tagBlizzardDesc=召唤自然之力，冻结大范围敌人。
tagCallMog=摩格德罗根之召
tagCallMogDesc=拥抱野兽之神的力量，强化你和你的随从。
tagBeaniesPauldrons=艾瑞瓦的烈焰护肩
tagEva=伊娃
tagAscend_1=升华 I
tagAscend_2=升华 II
tagAscend_3=升华 III
tagDescend=降临！
tagRaznarsVolley=正义之射
tagRaznarsVolleyDesc=释放额外的强力投射物。
tagHealSpell=治疗
tagHealSpellDesc=立即恢复选定生物的生命值。
tagNemesis_OrderDeathsVigil01_Illusion=赞塔林幻象，不朽者
tagNemesis_Kymon02_Illusion=铁处女幻象
tagEterneum=永恒碎片
tagEterneumDesc=仅在世界尽头发现的时间碎片。露娜女祭司可能知道些信息。
tagLootbox01N=口袋宝箱
tagLootbox01D="一个脉动的奇异魔球，充满克苏恩与永恒魔力。你透过球体看到其中漂浮的药水、蓝图、武器、盔甲、材料与组件。伸手尝试可能会获得宝物，也可能什么都没有……"
tagCraftLootbox=口袋宝箱
tagCraftLootbox_D=制造口袋宝箱，有机会获得随机战利品，或无价值物品。
tagCraftMeritE=难度解锁器：冠军功勋
tagCraftMeritE_D=制造功勋以解锁精英难度。
tagCraftMeritU=难度解锁器：救世者功勋
tagCraftMeritU_D=制造功勋以解锁终极难度。
tagCraftMeritCE=炼狱解锁器：挑战者功勋
tagCraftMeritCE_D=制造功勋以解锁挑战者炼狱难度。^n^o(没有炼狱DLC则无效)
tagCraftMeritCU=炼狱解锁器：角斗士功勋
tagCraftMeritCU_D=制造功勋以解锁角斗士炼狱难度。^n^o(没有炼狱DLC则无效)
tagCraftInvBag=制作背包
tagCraftInvBag_D=制造一个背包。^n^o(最多5个)
tagCraftMoney1=出售1个永恒碎片
tagCraftMoney_D1=出售1个永恒碎片换取1000铁币。
tagCraftMoney2=出售5个永恒碎片
tagCraftMoney_D2=出售5个永恒碎片换取6000铁币。
tagCraftMoney3=出售10个永恒碎片
tagCraftMoney_D3=出售10个永恒碎片换取12000铁币。
tagCraftMoney4=出售50个永恒碎片
tagCraftMoney_D4=出售50个永恒碎片换取60000铁币。

tagSkillPowerup01=乌洛的祝福
tagSkillPowerup01Desc=你受到了乌洛的祝福，获得对持续伤害与控场效果的抗性。

tagSkillPowerup02=恩庇里恩的指引
tagSkillPowerup02Desc=你被恩庇里恩之光所庇护，获得无与伦比的坚韧。

tagSkillPowerup03=阿玛托克之力
tagSkillPowerup03Desc=你被阿玛托克之灵所印记，获得惊人的力量。

tagSkillPowerup04=乌祖因之契
tagSkillPowerup04Desc=你被乌祖因所印记，获得不休的狂怒。


tag_nemesis_aetherial_01_spawned=瓦达兰出现了！
tag_nemesis_aetherialvanguard_01_spawned=亚历山大出现了！
tag_nemesis_beast_01_p1_spawned=库巴卡布拉出现了！
tag_nemesis_chthonian_02_spawned=本贾尔出现了！
tag_nemesis_chthonianvoidborn_01_spawned=格拉瓦图尔出现了！
tag_nemesis_eldritch_01_spawned=凯森出现了！
tag_nemesis_kymon_02_spawned=钢铁处女出现了！
tag_nemesis_kymon_02b_spawned=钢铁处女出现了！
tag_nemesis_orderdeathsvigil_01_spawned=赞塔林出现了！
tag_nemesis_orderdeathsvigil_01b_spawned=赞塔林出现了！
tag_nemesis_outlaw_01_spawned=法比乌斯出现了！
tag_nemesis_undead_02a_spawned=穆西劳克出现了！
tag_nemesis_wendigo_01_spawned=失落收割者出现了！
tag_god_avatarofmogdrogen_02_spawned=莫格卓根化身出现了！
tag_god_clone_a01_spawned=约翰·伯本出现了！
tag_god_crate_01_spawned=娱乐之箱出现了！
tag_god_lokarr_01_spawned=洛卡尔出现了！
tag_god_sandscion_02_spawned=卡拉加德拉出现了！
tag_god_ulgrim_void_spawned=乌尔格林出现了！
tag_god_wendigo_ravager_fleshb_spawned=血肉劫掠者出现了！
tag_god_wendigo_ravager_mindsb_spawned=心灵劫掠者出现了！
tag_god_wendigo_ravager_soulsb_spawned=灵魂劫掠者出现了！

tag_AETHERIAL_killed=瓦达兰被击杀！
tag_VANGUARD_killed=亚历山大被击杀！
tag_BEAST_killed=库巴卡布拉被击杀！
tag_CHTHONIAN_killed=本贾尔被击杀！
tag_VOIDBORN_killed=格拉瓦图尔被击杀！
tag_ELDRITCH_killed=凯森被击杀！
tag_KYMON_killed=钢铁处女被击杀！
tag_KYMON_killed=钢铁处女被击杀！
tag_ORDER_killed=赞塔林被击杀！
tag_ORDER_killed=赞塔林被击杀！
tag_OUTLAW_killed=法比乌斯被击杀！
tag_UNDEAD_killed=穆西劳克被击杀！
tag_WENDIGO_killed=失落收割者被击杀！

tag_AVATAR_killed=莫格卓根化身被击杀！
tag_JOHN_killed=约翰·伯本被击杀！
tag_CRATE_killed=娱乐之箱被击杀！
tag_LOKARR_killed=洛卡尔被击杀！
tag_SCION_killed=卡拉加德拉被击杀！
tag_ULGRIM_killed=乌尔格林被击杀！
tag_RAVAGER_killed=劫掠者被击杀！

tagChestUlgrim01=乌尔格林的宝库

tagTallinnsNote=塔林的笔记
tagTallinnsNoteDesc=给找到这东西的任何人，永恒竞技场并不会随着洛戈瑞安的败亡而结束，也不像我们以为的那样无限延伸。洛戈瑞安不过是……守门者，它连接着多个领域与位面，通往其他竞技场。我打败了那头怪物，但在此过程中，它逃往了另一处领域，并拖着我穿越多个位面，直到我坠落在这里……希望我的女祭司能找到另一位勇士，帮助她逃离这无尽的折磨……

tagEternalCodex=永恒
tagLunasNote1=永恒航行 第一部
tagLunasNote1Desc=当羽笔划过羊皮纸时，我的发现之重如同夜幕般沉压在心头。这些文字或许永不会见天日，但我必须记录我的实验所堕落的深渊，也记录我为追求禁忌所付出的牺牲。{^n}{^n}在我幽暗的圣所之中，烛光下的阴影如鬼魅起舞，我潜入了神秘学最黑暗的角落。古老的典籍——书页因年代久远而脆弱——在这孤独旅途中成为我唯一的伴侣。每一句低声咒语、每一个在空气中划出的奥术符号，都将我拉向帷幕后方那低语的深渊。{^n}{^n}我在野心的祭坛上洒下鲜血，以无辜者的生命交换通向宇宙秘密的钥匙。他们惨叫的回响仍萦绕在房间中，提醒着我痴迷所付出的代价。{^n}{^n}但推动我的，不仅是力量。不，是探索的渴望，是揭开现实褶皱中隐藏之谜的冲动。我曾窥见永恒，如黑暗中的海市蜃楼般闪光，其诱人的辉芒在逼近的阴影中成为希望的灯塔。{^n}{^n}随着每一次牺牲，每一滴洒落在古老符文上的鲜血，虚空离显化愈加接近。很快，我将站在世界的门槛前，直视深渊，并召唤其中沉睡的存在。{^n}{^n}裂隙彼端潜藏的奇迹，我不敢妄加想象。但我已准备面对任何等待着的恐怖，因为吞噬着我的求知欲无穷无尽。{^n}{^n}愿群星见证我的愚行，也愿诸神怜悯我的灵魂。{^n}{^n}——露娜

tagLunasNote2=永恒航行 第二部
tagLunasNote2Desc=我的最终遗言，{^n}{^n}当我写下这些文字时，空气中充斥着即将揭示真理所带来的电流般的紧张。裂隙之门矗立在我面前，那旋转的异界能量漩涡正召唤我迈出这凡世的束缚。时机已到，我必须抛下人性的外壳，去拥抱帷幕彼端那无限的可能性。{^n}{^n}裂隙的牵引令人沉醉，是回荡在灵魂深处的塞壬之歌。它低语着不可估量的力量、超越理解的知识，以及在宇宙熔炉中锻铸的命运。面对这样的诱惑，又怎能抗拒？当现实的织布在我指尖颤动，我岂能停步？{^n}{^n}在我面前延伸的通道深入深渊，一道由最黑的黑曜石雕凿而成的巨口，其上刻满了扭动的深渊符文，如蛇群在幽暗中蠕动。每迈出一步，都将我推向悬崖边缘，推向那即将投身未知、拥抱混沌的瞬间。{^n}{^n}与我同处凡世的同伴们，请知晓，我并非轻率地踏上这条道路。请知晓，每一次牺牲、每一滴洒落在野心祭坛上的鲜血，若不是为了追求真理，便毫无意义。因此，我留下此份遗言，提醒后人启蒙所需付出的代价，也警告那些胆敢追随我脚步的人。{^n}{^n}当我踏入裂隙之门的旋涡时，我能感觉到人性最后的残影正如指间细沙般滑落。取而代之的，是某种原始而古老的力量，一种超越理解、渴望挣脱凡躯束缚的存在。{^n}{^n}告别了，我的朋友们，愿群星引导你们前行。因为我已不再属于此世，而是宇宙无垠长夜中的旅者。{^n}{^n}以颤抖的手，却怀着坚定之心，{^n}{^n}露娜
